Date	ATRCT	AVBLS	ETRAV	NADDU	NTRAN	NTRBL	NTREP	TOUTV	TRFEE	Volume_BTC	Volume_Currency	Weighted_Price	JPY_Rate	GBP_Rate	CHF_Rate	EUR_Rate	CNY_Rate	CAD_Rate	SEK_Rate	Dollar_Index
2013-09-01	5.11666666667	0.0910910700893	147474	49046	45578	333	27222	1064159.23048	25.28747187	2713.18	337366.77	124.34	NA	NA	NA	NA	NA	NA	NA	NA
2013-09-02	4.58333333333	0.090653232818	138283	52118	50456	332	28807	748660.793428	46.83183395	3418.26	427500.86	125.06	0.0101330058345848	1.55304824544374	1.07282209069423	1.32139147808208	0.162247583322246	0.949288982552069	0.151267851497325	1
2013-09-03	6.35	0.128158976581	161440	54757	50503	311	32641	894041.010826	30.91428847	2179.55	272297.75	124.93	0.0100695098263312	1.55528009816928	1.06986771085755	1.31874798066715	0.162202581291879	0.948883638399423	0.151268537959327	1
2013-09-04	6.65	0.124783965363	194948	58274	51136	284	34303	895742.785135	24.59734787	8233.35	982582.75	119.34	0.0100430444886785	1.55791874518993	1.06807709807725	1.31780432714229	0.162148927303771	0.950172931473528	0.151223473512452	1
2013-09-05	7.05	0.151025573169	204832	63542	60222	287	37741	858463.127898	34.00943099	4982.26	578467.97	116.11	0.010021767278529	1.56053226634541	1.06550512401414	1.31730610900708	0.162125793403101	0.952190514278097	0.150908317160992	1
2013-09-06	5.78333333333	0.139508558574	131448	57620	63412	246	35505	838119.747745	33.00862693	4963.91	577051	116.25	0.0100329079380368	1.56080749936787	1.06223981763467	1.31493130798847	0.162097936331173	0.955374459019213	0.150908317160992	1
2013-09-07	7.65	0.140841279293	114950	56635	54231	245	34405	667774.7839	27.40258306	3172.11	368095.11	116.04	NA	NA	NA	NA	NA	NA	NA	NA
2013-09-08	8.1	0.129339211739	80795	43712	46470	230	26077	409117.852337	22.51021597	2130.12	246518.15	115.73	NA	NA	NA	NA	NA	NA	NA	NA
2013-09-09	6.13333333333	0.120213735907	126248	53474	54966	218	33571	527143.176101	30.43641891	5363.5	633818.04	118.17	0.010041965373295	1.56437480543088	1.06558914292534	1.31785121723328	0.162178116982319	0.960439497113879	0.15105762999642	1
2013-09-10	7	0.12247766987	149332	55161	53551	255	34709	1092297.07519	28.07548626	2050.98	247390.89	120.62	0.0100147116113571	1.56956549718341	1.06999134377003	1.32361447345954	0.16229656126046	0.9641620949314	0.152075526789625	1
2013-09-11	5.75	0.104208153872	140855	58672	49512	298	35535	806718.318408	23.61451906	7498.66	908973.55	121.22	0.00998591985300726	1.57462708893966	1.06999134377003	1.3268142526387	0.162375883933718	0.966276934969562	0.152807065798723	1
2013-09-12	5.4	0.107846791928	148555	65300	50982	374	38697	663689.950261	24.96850657	3737.34	462996.74	123.88	0.0100243189978889	1.57964656987646	1.07337367787197	1.32937180535338	0.162462674200602	0.968232298293006	0.153152256315616	1
2013-09-13	5.61666666667	0.100459121522	136310	59829	48362	426	34662	734589.310499	26.42562521	3277.93	406674.52	124.06	0.010047736797525	1.58214329788278	1.07421077734189	1.3294336612603	0.162528158003374	0.968147933004163	0.153056851436898	1
2013-09-14	5.63333333333	0.0932886379736	107619	48712	47147	302	28979	606148.193252	21.9094985	3316.2	411486.87	124.08	NA	NA	NA	NA	NA	NA	NA	NA
2013-09-15	6.46666666667	0.114646192457	78935	42924	46764	305	28348	410950.214061	24.16845305	3101.73	380509.31	122.68	NA	NA	NA	NA	NA	NA	NA	NA
2013-09-16	7.23333333333	0.126248664405	125440	52304	50391	284	33155	585717.368026	29.82849822	4114.46	510543.04	124.09	0.0100879772495937	1.58918590773504	1.07799626366495	1.33302051785181	0.162623309124143	0.969320990646052	0.153364353829968	1
2013-09-17	7.3	0.166820580003	137920	61057	66291	255	42021	672793.433465	90.93785999	3515.21	437131.23	124.35	0.0100927931401304	1.59140387284046	1.07959882107809	1.33496198695742	0.162641294624705	0.969838037047813	0.153916955645751	1
2013-09-18	8.68333333333	0.181919394739	161163	65538	64383	272	43705	788617.129887	303.03844849	3562.3	446175.77	125.25	0.010097093652563	1.59346043836097	1.08067451380454	1.3361356551808	0.162650817970964	0.970826658900053	0.154617815683194	1
2013-09-19	6.11666666667	0.127231167524	219847	66398	59004	316	41152	785082.704198	111.427816	5568.59	683295.65	122.71	0.0101159387742922	1.60430724408893	1.09118962584199	1.34724044739161	0.162782937092534	0.975552650576551	0.1565393532107	1
2013-09-20	6	0.128709778267	149572	65306	58990	271	40460	793416.423007	35.98775791	4835.86	588386.71	121.67	0.0100851489122663	1.60546371411187	1.09794672982056	1.35307011609342	0.162832503973113	0.974639870567825	0.1575445732984	1
2013-09-21	6.26666666667	0.12242565563	110774	58758	53286	317	36353	522574.764806	26.17798718	1925.17	233671.54	121.38	NA	NA	NA	NA	NA	NA	NA	NA
2013-09-22	5.63333333333	0.108690122956	118843	53993	52686	286	33215	458740.47062	27.4817632	1543.68	187026.81	121.16	NA	NA	NA	NA	NA	NA	NA	NA
2013-09-23	5.11666666667	0.116038529582	161317	62037	60286	261	38353	783517.9985	36.37139814	2634.95	319297.38	121.18	0.0100871733521089	1.60323725666867	1.09783342573431	1.35210231628648	0.162830382846796	0.971902304380364	0.157247539076013	1
2013-09-24	6.18333333333	0.135476956913	215108	65845	63563	248	41262	1095771.97406	31.74116641	3365.82	406625.53	120.81	0.0101126447498688	1.60203265903779	1.09734672535277	1.34991205322973	0.162794597172909	0.971713422277502	0.156628600695744	1
